127.0.0.1 - - [05/Sep/2018:10:19:13 +0900] "GET / HTTP/1.1" 404 1073
10.96.124.197 - - [05/Sep/2018:10:19:20 +0900] "GET /MyPage_Project/index.jsp HTTP/1.1" 200 2688
10.96.124.197 - - [05/Sep/2018:10:19:20 +0900] "GET /MyPage_Project/image/Walt%20Disney%20Opening%20Video(%EC%9B%94%ED%8A%B8%20%EB%94%94%EC%A6%88%EB%8B%88%20%EC%98%A4%ED%94%84%EB%8B%9D%20%EC%98%81%EC%83%81)%20(1).mp3 HTTP/1.1" 200 722371
10.96.124.197 - - [05/Sep/2018:10:19:21 +0900] "GET /MyPage_Project/christmas/christmas_1.jsp HTTP/1.1" 200 2655
10.96.124.197 - - [05/Sep/2018:10:19:21 +0900] "GET /MyPage_Project/christmas/christmas.css HTTP/1.1" 200 3238
10.96.124.197 - - [05/Sep/2018:10:19:21 +0900] "GET /MyPage_Project/christmas_img/chistma.jpg HTTP/1.1" 200 275638
10.96.124.197 - - [05/Sep/2018:10:19:21 +0900] "GET /MyPage_Project/snow_img/nn.png HTTP/1.1" 200 545
10.96.124.197 - - [05/Sep/2018:10:19:25 +0900] "GET /MyPage_Project/christmas/christmas_2.jsp HTTP/1.1" 200 5439
10.96.124.197 - - [05/Sep/2018:10:19:25 +0900] "GET /MyPage_Project/christmas/christmas_2.jsp HTTP/1.1" 200 5439
10.96.124.197 - - [05/Sep/2018:10:19:25 +0900] "GET /MyPage_Project/christmas_img/jack.png HTTP/1.1" 200 85722
10.96.124.197 - - [05/Sep/2018:10:19:25 +0900] "GET /MyPage_Project/christmas_img/sally.png HTTP/1.1" 200 101873
10.96.124.197 - - [05/Sep/2018:10:19:25 +0900] "GET /MyPage_Project/christmas_img/oogie.png HTTP/1.1" 200 539215
10.96.124.197 - - [05/Sep/2018:10:19:26 +0900] "GET /MyPage_Project/christmas/christmas_3.jsp HTTP/1.1" 200 5966
10.96.124.197 - - [05/Sep/2018:10:19:26 +0900] "GET /MyPage_Project/christmas_img/jj.jpg HTTP/1.1" 200 43243
10.96.124.197 - - [05/Sep/2018:10:19:26 +0900] "GET /MyPage_Project/christmas_img/ccc.jpg HTTP/1.1" 200 38839
10.96.124.197 - - [05/Sep/2018:10:19:28 +0900] "GET /MyPage_Project/christmas/christmas_4.jsp HTTP/1.1" 200 4666
10.96.124.197 - - [05/Sep/2018:10:19:28 +0900] "GET /MyPage_Project/christmas_img/mimi.jpg HTTP/1.1" 200 114331
10.96.124.197 - - [05/Sep/2018:10:19:28 +0900] "GET /MyPage_Project/christmas_img/ww.jpg HTTP/1.1" 200 39067
10.96.124.197 - - [05/Sep/2018:10:19:28 +0900] "GET /MyPage_Project/christmas_img/ss.jpg HTTP/1.1" 200 20227
10.96.124.197 - - [05/Sep/2018:10:19:31 +0900] "GET /MyPage_Project/koko/koko_1.jsp HTTP/1.1" 200 2539
10.96.124.197 - - [05/Sep/2018:10:19:31 +0900] "GET /MyPage_Project/koko_img/coco.jpg HTTP/1.1" 200 607249
10.96.124.197 - - [05/Sep/2018:10:19:31 +0900] "GET /MyPage_Project/koko/koko.css HTTP/1.1" 200 3238
10.96.124.197 - - [05/Sep/2018:10:19:33 +0900] "GET /MyPage_Project/koko/koko_2.jsp HTTP/1.1" 200 5241
10.96.124.197 - - [05/Sep/2018:10:19:33 +0900] "GET /MyPage_Project/koko_img/migel.png HTTP/1.1" 200 223352
10.96.124.197 - - [05/Sep/2018:10:19:33 +0900] "GET /MyPage_Project/koko_img/hector.jpg HTTP/1.1" 200 45690
10.96.124.197 - - [05/Sep/2018:10:19:33 +0900] "GET /MyPage_Project/koko_img/ernesto.jpg HTTP/1.1" 200 49633
10.96.124.197 - - [05/Sep/2018:10:19:34 +0900] "GET /MyPage_Project/koko/koko_3.jsp HTTP/1.1" 200 5309
10.96.124.197 - - [05/Sep/2018:10:19:34 +0900] "GET /MyPage_Project/koko_img/eeeko.PNG HTTP/1.1" 200 383174
10.96.124.197 - - [05/Sep/2018:10:19:34 +0900] "GET /MyPage_Project/koko_img/gggg.jpg HTTP/1.1" 200 82850
10.96.124.197 - - [05/Sep/2018:10:19:34 +0900] "GET /MyPage_Project/koko_img/ecp.JPG HTTP/1.1" 200 76659
10.96.124.197 - - [05/Sep/2018:10:19:36 +0900] "GET /MyPage_Project/koko/koko_4.jsp HTTP/1.1" 200 4554
10.96.124.197 - - [05/Sep/2018:10:19:36 +0900] "GET /MyPage_Project/koko_img/adasda.jpg HTTP/1.1" 200 211699
10.96.124.197 - - [05/Sep/2018:10:19:36 +0900] "GET /MyPage_Project/koko_img/kkk.jpg HTTP/1.1" 200 82850
10.96.124.197 - - [05/Sep/2018:10:19:36 +0900] "GET /MyPage_Project/koko_img/gfgfg.jpg HTTP/1.1" 200 71507
10.96.124.197 - - [05/Sep/2018:10:19:37 +0900] "GET /MyPage_Project/list.jsp HTTP/1.1" 200 1982
10.96.124.197 - - [05/Sep/2018:10:19:39 +0900] "GET /MyPage_Project/Write.jsp HTTP/1.1" 200 2889
10.96.124.197 - - [05/Sep/2018:10:19:48 +0900] "GET /MyPage_Project/insert.jsp?board_title=%EA%B8%80%EC%9D%84+%EC%9E%91%EC%84%B1%ED%95%A9%EC%8B%9C%EB%8B%A4&nicname=%EB%AF%BC%EA%B2%BD&board_content=%EC%95%88%EB%85%95%ED%95%98%EC%84%B8%EC%9A%94 HTTP/1.1" 302 -
10.96.124.197 - - [05/Sep/2018:10:19:48 +0900] "GET /MyPage_Project/result.jsp?send=ok HTTP/1.1" 200 397
10.96.124.197 - - [05/Sep/2018:10:19:50 +0900] "GET /MyPage_Project/list.jsp HTTP/1.1" 200 2112
10.96.124.197 - - [05/Sep/2018:10:19:52 +0900] "GET /MyPage_Project/Detail.jsp?FILE_NAME=%EA%B8%80%EC%9D%84%20%EC%9E%91%EC%84%B1%ED%95%A9%EC%8B%9C%EB%8B%A4.txt HTTP/1.1" 200 2010
10.96.124.197 - - [05/Sep/2018:10:19:53 +0900] "GET /MyPage_Project/list.jsp HTTP/1.1" 200 2112
10.96.124.197 - - [05/Sep/2018:10:19:55 +0900] "GET /MyPage_Project/Detail.jsp?FILE_NAME=%EA%B8%80%EC%9D%84%20%EC%9E%91%EC%84%B1%ED%95%A9%EC%8B%9C%EB%8B%A4.txt HTTP/1.1" 200 2010
10.96.124.197 - - [05/Sep/2018:10:19:56 +0900] "GET /MyPage_Project/list.jsp HTTP/1.1" 200 2112
10.96.124.197 - - [05/Sep/2018:10:20:00 +0900] "GET /MyPage_Project/index.jsp HTTP/1.1" 200 2688
10.96.124.197 - - [05/Sep/2018:10:20:00 +0900] "GET /MyPage_Project/image/Walt%20Disney%20Opening%20Video(%EC%9B%94%ED%8A%B8%20%EB%94%94%EC%A6%88%EB%8B%88%20%EC%98%A4%ED%94%84%EB%8B%9D%20%EC%98%81%EC%83%81)%20(1).mp3 HTTP/1.1" 206 1
10.96.124.197 - - [05/Sep/2018:10:20:00 +0900] "GET /MyPage_Project/image/Walt%20Disney%20Opening%20Video(%EC%9B%94%ED%8A%B8%20%EB%94%94%EC%A6%88%EB%8B%88%20%EC%98%A4%ED%94%84%EB%8B%9D%20%EC%98%81%EC%83%81)%20(1).mp3 HTTP/1.1" 206 329158
10.96.124.197 - - [05/Sep/2018:10:53:26 +0900] "GET /MyPage_Project/index.jsp HTTP/1.1" 200 2688
10.96.124.197 - - [05/Sep/2018:10:53:26 +0900] "GET /MyPage_Project/image/Walt%20Disney%20Opening%20Video(%EC%9B%94%ED%8A%B8%20%EB%94%94%EC%A6%88%EB%8B%88%20%EC%98%A4%ED%94%84%EB%8B%9D%20%EC%98%81%EC%83%81)%20(1).mp3 HTTP/1.1" 206 1
10.96.124.197 - - [05/Sep/2018:10:53:26 +0900] "GET /MyPage_Project/image/Walt%20Disney%20Opening%20Video(%EC%9B%94%ED%8A%B8%20%EB%94%94%EC%A6%88%EB%8B%88%20%EC%98%A4%ED%94%84%EB%8B%9D%20%EC%98%81%EC%83%81)%20(1).mp3 HTTP/1.1" 206 198087
10.96.124.197 - - [05/Sep/2018:10:53:27 +0900] "GET /MyPage_Project/christmas/christmas_1.jsp HTTP/1.1" 200 2655
10.96.124.197 - - [05/Sep/2018:10:53:29 +0900] "GET /MyPage_Project/list.jsp HTTP/1.1" 200 2112
10.96.124.197 - - [05/Sep/2018:10:53:30 +0900] "GET /MyPage_Project/Write.jsp HTTP/1.1" 200 2889
10.96.124.197 - - [05/Sep/2018:10:53:37 +0900] "GET /MyPage_Project/list.jsp HTTP/1.1" 200 2112
10.96.124.197 - - [05/Sep/2018:10:53:38 +0900] "GET /MyPage_Project/index.jsp HTTP/1.1" 200 2688
10.96.124.197 - - [05/Sep/2018:10:53:38 +0900] "GET /MyPage_Project/image/Walt%20Disney%20Opening%20Video(%EC%9B%94%ED%8A%B8%20%EB%94%94%EC%A6%88%EB%8B%88%20%EC%98%A4%ED%94%84%EB%8B%9D%20%EC%98%81%EC%83%81)%20(1).mp3 HTTP/1.1" 206 1
10.96.124.197 - - [05/Sep/2018:13:03:01 +0900] "GET /MyPage_Project/index.jsp HTTP/1.1" 200 2741
10.96.124.197 - - [05/Sep/2018:13:03:01 +0900] "GET /MyPage_Project/image/Walt%20Disney%20Opening%20Video(%EC%9B%94%ED%8A%B8%20%EB%94%94%EC%A6%88%EB%8B%88%20%EC%98%A4%ED%94%84%EB%8B%9D%20%EC%98%81%EC%83%81)%20(1).mp3 HTTP/1.1" 206 1
10.96.124.197 - - [05/Sep/2018:13:03:03 +0900] "GET /MyPage_Project/moana/moana_1.jsp HTTP/1.1" 200 2546
10.96.124.197 - - [05/Sep/2018:13:03:03 +0900] "GET /MyPage_Project/moana_img/moa.jpg HTTP/1.1" 200 114724
10.96.124.197 - - [05/Sep/2018:13:03:03 +0900] "GET /MyPage_Project/moana/moana.css HTTP/1.1" 200 3238
10.96.124.197 - - [05/Sep/2018:13:03:08 +0900] "GET /MyPage_Project/koko/koko_1.jsp HTTP/1.1" 200 2539
10.96.124.197 - - [05/Sep/2018:13:03:08 +0900] "GET /MyPage_Project/koko/koko.css HTTP/1.1" 200 3238
10.96.124.197 - - [05/Sep/2018:13:03:08 +0900] "GET /MyPage_Project/koko_img/coco.jpg HTTP/1.1" 200 607249
10.96.124.197 - - [05/Sep/2018:13:03:08 +0900] "GET /MyPage_Project/koko/koko_2.jsp HTTP/1.1" 200 5241
10.96.124.197 - - [05/Sep/2018:13:03:09 +0900] "GET /MyPage_Project/koko_img/migel.png HTTP/1.1" 200 223352
10.96.124.197 - - [05/Sep/2018:13:03:09 +0900] "GET /MyPage_Project/koko_img/hector.jpg HTTP/1.1" 200 45690
10.96.124.197 - - [05/Sep/2018:13:03:09 +0900] "GET /MyPage_Project/koko_img/ernesto.jpg HTTP/1.1" 200 49633
10.96.124.197 - - [05/Sep/2018:13:03:10 +0900] "GET /MyPage_Project/koko/koko_3.jsp HTTP/1.1" 200 5309
10.96.124.197 - - [05/Sep/2018:13:03:10 +0900] "GET /MyPage_Project/koko_img/gggg.jpg HTTP/1.1" 200 82850
10.96.124.197 - - [05/Sep/2018:13:03:10 +0900] "GET /MyPage_Project/koko_img/eeeko.PNG HTTP/1.1" 200 383174
10.96.124.197 - - [05/Sep/2018:13:03:10 +0900] "GET /MyPage_Project/koko_img/ecp.JPG HTTP/1.1" 200 76659
